fips,incidentType,num_disasters,has_data_center,num_data_centers
01035,Coastal Storm,0,0,0
01035,Severe Ice Storm,0,0,0
01037,Severe Storm,3,0,0
01037,Fire,0,0,0
01037,Hurricane,3,0,0
01037,Winter Storm,0,0,0
01037,Flood,0,0,0
01037,Tornado,0,0,0
01037,Tropical Storm,0,0,0
01037,Snowstorm,0,0,0
01037,Coastal Storm,0,0,0
01037,Severe Ice Storm,0,0,0
01039,Severe Storm,2,0,0
01039,Fire,0,0,0
01039,Hurricane,3,0,0
01039,Winter Storm,0,0,0
01039,Flood,0,0,0
01039,Tornado,0,0,0
01039,Tropical Storm,0,0,0
01039,Snowstorm,0,0,0
01039,Coastal Storm,0,0,0
01039,Severe Ice Storm,0,0,0
01041,Severe Storm,2,0,0
01041,Fire,0,0,0
01041,Hurricane,3,0,0
01041,Winter Storm,0,0,0
01041,Flood,0,0,0
01041,Tornado,0,0,0
01041,Tropical Storm,0,0,0
01041,Snowstorm,0,0,0
01041,Coastal Storm,0,0,0
01041,Severe Ice Storm,0,0,0
01043,Severe Storm,2,0,0
01043,Fire,0,0,0
01043,Hurricane,2,0,0
01043,Winter Storm,0,0,0
01043,Flood,0,0,0
01043,Tornado,0,0,0
01043,Tropical Storm,0,0,0
01043,Snowstorm,0,0,0
01043,Coastal Storm,0,0,0
01043,Severe Ice Storm,0,0,0
01045,Severe Storm,1,0,0
01045,Fire,0,0,0
01045,Hurricane,2,0,0
01045,Winter Storm,0,0,0
01045,Flood,0,0,0
01045,Tornado,0,0,0
01045,Tropical Storm,0,0,0
01045,Snowstorm,0,0,0
01045,Coastal Storm,0,0,0
01045,Severe Ice Storm,0,0,0
01047,Severe Storm,2,0,0
01047,Fire,0,0,0
01047,Hurricane,3,0,0
01047,Winter Storm,0,0,0
01047,Flood,0,0,0
01047,Tornado,0,0,0
01047,Tropical Storm,0,0,0
01047,Snowstorm,0,0,0
01047,Coastal Storm,0,0,0
01047,Severe Ice Storm,0,0,0
01049,Severe Storm,2,0,0
01049,Fire,0,0,0
01049,Hurricane,2,0,0
01049,Winter Storm,0,0,0
01049,Flood,0,0,0
01049,Tornado,0,0,0
01049,Tropical Storm,0,0,0
01049,Snowstorm,0,0,0
01049,Coastal Storm,0,0,0
01049,Severe Ice Storm,0,0,0
01051,Severe Storm,2,0,0
01051,Fire,0,0,0
01051,Hurricane,3,0,0
01051,Winter Storm,0,0,0
01051,Flood,0,0,0
01051,Tornado,0,0,0
01051,Tropical Storm,0,0,0
01051,Snowstorm,0,0,0
01051,Coastal Storm,0,0,0
01051,Severe Ice Storm,0,0,0
01053,Severe Storm,0,0,0
01053,Fire,0,0,0
01053,Hurricane,3,0,0
01053,Winter Storm,0,0,0
01053,Flood,0,0,0
01053,Tornado,0,0,0
01053,Tropical Storm,0,0,0
01053,Snowstorm,0,0,0
01053,Coastal Storm,0,0,0
01053,Severe Ice Storm,0,0,0
01055,Severe Storm,1,0,0
01055,Fire,0,0,0
01055,Hurricane,2,0,0
01055,Winter Storm,0,0,0
01055,Flood,0,0,0
01055,Tornado,0,0,0
01055,Tropical Storm,0,0,0
01055,Snowstorm,0,0,0
01055,Coastal Storm,0,0,0
01055,Severe Ice Storm,0,0,0
01057,Severe Storm,1,0,0
01057,Fire,0,0,0
01057,Hurricane,2,0,0
01057,Winter Storm,0,0,0
01057,Flood,0,0,0
01057,Tornado,0,0,0
01057,Tropical Storm,0,0,0
01057,Snowstorm,0,0,0
01057,Coastal Storm,0,0,0
01057,Severe Ice Storm,0,0,0
01059,Severe Storm,1,0,0
01059,Fire,0,0,0
01059,Hurricane,2,0,0
01059,Winter Storm,0,0,0
01059,Flood,0,0,0
01059,Tornado,0,0,0
01059,Tropical Storm,0,0,0
01059,Snowstorm,0,0,0
01059,Coastal Storm,0,0,0
01059,Severe Ice Storm,0,0,0
01061,Severe Storm,0,0,0
01061,Fire,0,0,0
01061,Hurricane,3,0,0
01061,Winter Storm,0,0,0
01061,Flood,0,0,0
01061,Tornado,0,0,0
01061,Tropical Storm,0,0,0
01061,Snowstorm,0,0,0
01061,Coastal Storm,0,0,0
