fips,has_data_center,num_data_centers,num_disasters
12069,0,0,12
12071,0,0,14
12073,0,0,12
12075,0,0,16
12077,0,0,14
12079,0,0,14
12081,0,0,16
12083,0,0,15
12085,0,0,9
12086,1,1,9
12087,0,0,11
12089,0,0,15
12091,0,0,10
12093,0,0,10
12095,1,1,12
12097,0,0,13
12099,1,1,9
12101,0,0,15
12103,0,0,15
12105,1,2,11
12107,0,0,15
12109,0,0,13
12111,1,1,9
12113,0,0,12
12115,0,0,15
12117,1,1,13
12119,0,0,15
12121,0,0,14
12123,0,0,16
12125,0,0,13
12127,0,0,13
12129,0,0,14
12131,0,0,11
12133,0,0,11
13001,0,0,5
13003,0,0,5
13005,0,0,5
13007,0,0,1
13009,1,1,2
13011,1,1,3
13013,0,0,1
13015,1,8,1
13017,0,0,3
13019,0,0,5
13021,1,2,1
13023,0,0,2
13025,0,0,6
13027,1,1,5
13029,0,0,5
13031,1,1,5
13033,0,0,5
13035,1,2,3
13037,0,0,1
13039,0,0,6
13043,0,0,5
13045,1,5,2
13047,0,0,1
13049,0,0,6
13051,0,0,5
13053,0,0,1
13055,1,1,1
13057,1,2,2
13059,0,0,1
13061,0,0,1
13063,1,14,1
13065,0,0,5
13067,1,25,1
13069,0,0,5
13071,0,0,5
13073,1,3,2
13075,0,0,5
13077,1,7,2
13079,0,0,1
13081,0,0,4
13083,0,0,1
13085,0,0,3
13087,0,0,3
13089,1,9,1
13091,0,0,3
13093,0,0,2
13095,0,0,1
13097,1,23,2
13099,0,0,1
13101,0,0,5
13103,0,0,5
13105,0,0,2
13107,0,0,4
13109,0,0,4
13111,0,0,3
13113,1,4,1
13115,1,7,1
13117,1,4,2
13119,0,0,3
13121,1,64,2
13123,0,0,4
13125,0,0,2
13127,0,0,5
13129,1,3,2
13131,0,0,3
13133,0,0,2
13135,1,8,1
13137,0,0,3
13139,1,1,2
13141,0,0,2
13143,0,0,2
13145,0,0,1
13147,0,0,2
13149,1,5,3
13151,1,5,2
